,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,stimulant,depressant,hallucinagen
1,35-44,Female,Professional certificate/diploma,39.0,36.0,42.0,37.0,42.0,4.0,3.0,5,6,5,2,0.5,1.0,0.0
2,25-34,Male,Doctorate degree,29.0,52.0,55.0,48.0,41.0,3.0,6.0,5,6,6,4,1.75,1.0,2.0
3,35-44,Male,Professional certificate/diploma,31.0,45.0,40.0,32.0,34.0,2.0,8.0,6,6,4,0,0.0,0.0,0.3333333333333333
4,18-24,Female,Masters degree,34.0,34.0,46.0,47.0,46.0,2.0,3.0,4,5,4,2,1.0,1.5,0.0
5,35-44,Female,Doctorate degree,43.0,28.0,43.0,41.0,50.0,4.0,6.0,4,6,6,2,0.25,0.5,1.0
6,65+,Female,Left school at 18 years ,29.0,38.0,35.0,55.0,52.0,2.0,2.0,2,6,4,6,0.0,0.0,0.0
7,45-54,Male,Masters degree,31.0,32.0,43.0,41.0,48.0,4.0,7.0,6,6,5,6,0.0,0.0,0.0
8,35-44,Male,Left school at 16 years,24.0,52.0,40.0,41.0,52.0,5.0,5.0,5,6,4,0,0.0,0.0,0.0
9,35-44,Female,Professional certificate/diploma,42.0,55.0,39.0,48.0,49.0,2.0,2.0,4,6,6,6,0.0,0.0,0.0
10,55-64,Male,Masters degree,33.0,40.0,36.0,47.0,43.0,2.0,4.0,6,6,6,6,0.25,0.5,0.0
11,25-34,Female,University degree,26.0,45.0,38.0,38.0,53.0,5.0,7.0,5,6,5,2,0.5,0.5,0.0
12,45-54,Male,"Some college or university, no certificate or degree",24.0,40.0,47.0,30.0,38.0,6.0,10.0,5,6,5,6,0.75,0.0,2.0
13,55-64,Female,University degree,56.0,41.0,49.0,32.0,36.0,8.0,7.0,5,6,5,6,0.5,2.0,0.6666666666666666
14,55-64,Female,Professional certificate/diploma,28.0,45.0,46.0,49.0,59.0,3.0,4.0,1,5,0,1,0.0,0.0,0.0
15,55-64,Female,Professional certificate/diploma,27.0,49.0,49.0,39.0,52.0,8.0,9.0,6,6,6,6,0.0,0.0,0.0
16,55-64,Male,University degree,19.0,29.0,35.0,36.0,49.0,3.0,5.0,5,6,5,0,1.0,1.0,0.3333333333333333
17,35-44,Female,"Some college or university, no certificate or degree",22.0,34.0,34.0,45.0,47.0,4.0,1.0,6,6,5,6,0.0,0.5,0.0
18,45-54,Male,Left school at 16 years,41.0,31.0,44.0,40.0,31.0,2.0,4.0,6,6,4,6,1.0,0.5,1.0
19,55-64,Male,University degree,49.0,39.0,45.0,30.0,30.0,3.0,6.0,6,6,6,0,1.0,1.0,1.3333333333333333
20,35-44,Male,Professional certificate/diploma,32.0,27.0,29.0,30.0,47.0,2.0,1.0,4,6,6,1,0.25,0.0,0.3333333333333333
21,45-54,Male,Professional certificate/diploma,28.0,45.0,51.0,53.0,33.0,5.0,6.0,6,6,6,3,0.25,0.5,0.6666666666666666
22,65+,Male,Left school before 16 years,25.0,43.0,38.0,39.0,53.0,4.0,3.0,5,6,6,1,0.0,0.0,0.3333333333333333
23,45-54,Male,University degree,40.0,33.0,40.0,50.0,35.0,3.0,7.0,4,5,6,0,0.0,0.0,0.0
