,Age,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,stimulant,depressant,hallucinagen,Gender_Male
1,3,1,39.0,36.0,42.0,37.0,42.0,4.0,3.0,5,6,5,2,0.5,1.0,0.0,0
2,2,4,29.0,52.0,55.0,48.0,41.0,3.0,6.0,5,6,6,4,1.75,1.0,2.0,1
3,3,1,31.0,45.0,40.0,32.0,34.0,2.0,8.0,6,6,4,0,0.0,0.0,0.3333333333333333,1
4,1,3,34.0,34.0,46.0,47.0,46.0,2.0,3.0,4,5,4,2,1.0,1.5,0.0,0
5,3,4,43.0,28.0,43.0,41.0,50.0,4.0,6.0,4,6,6,2,0.25,0.5,1.0,0
6,6,-1,29.0,38.0,35.0,55.0,52.0,2.0,2.0,2,6,4,6,0.0,0.0,0.0,0
7,4,3,31.0,32.0,43.0,41.0,48.0,4.0,7.0,6,6,5,6,0.0,0.0,0.0,1
8,3,-3,24.0,52.0,40.0,41.0,52.0,5.0,5.0,5,6,4,0,0.0,0.0,0.0,1
9,3,1,42.0,55.0,39.0,48.0,49.0,2.0,2.0,4,6,6,6,0.0,0.0,0.0,0
10,5,3,33.0,40.0,36.0,47.0,43.0,2.0,4.0,6,6,6,6,0.25,0.5,0.0,1
11,2,2,26.0,45.0,38.0,38.0,53.0,5.0,7.0,5,6,5,2,0.5,0.5,0.0,0
12,4,0,24.0,40.0,47.0,30.0,38.0,6.0,10.0,5,6,5,6,0.75,0.0,2.0,1
13,5,2,56.0,41.0,49.0,32.0,36.0,8.0,7.0,5,6,5,6,0.5,2.0,0.6666666666666666,0
14,5,1,28.0,45.0,46.0,49.0,59.0,3.0,4.0,1,5,0,1,0.0,0.0,0.0,0
15,5,1,27.0,49.0,49.0,39.0,52.0,8.0,9.0,6,6,6,6,0.0,0.0,0.0,0
16,5,2,19.0,29.0,35.0,36.0,49.0,3.0,5.0,5,6,5,0,1.0,1.0,0.3333333333333333,1
17,3,0,22.0,34.0,34.0,45.0,47.0,4.0,1.0,6,6,5,6,0.0,0.5,0.0,0
18,4,-3,41.0,31.0,44.0,40.0,31.0,2.0,4.0,6,6,4,6,1.0,0.5,1.0,1
19,5,2,49.0,39.0,45.0,30.0,30.0,3.0,6.0,6,6,6,0,1.0,1.0,1.3333333333333333,1
20,3,1,32.0,27.0,29.0,30.0,47.0,2.0,1.0,4,6,6,1,0.25,0.0,0.3333333333333333,1
21,4,1,28.0,45.0,51.0,53.0,33.0,5.0,6.0,6,6,6,3,0.25,0.5,0.6666666666666666,1
22,6,-4,25.0,43.0,38.0,39.0,53.0,4.0,3.0,5,6,6,1,0.0,0.0,0.3333333333333333,1
23,4,2,40.0,33.0,40.0,50.0,35.0,3.0,7.0,4,5,6,0,0.0,0.0,0.0,1
24,4,-3,51.0,16.0,37.0,45.0,34.0,2.0,2.0,6,6,6,6,1.0,3.0,0.3333333333333333,1
25,5,2,34.0,44.0,54.0,48.0,51.0,4.0,5.0,5,5,5,6,0.5,1.0,1.0,1
26,4,0,28.0,37.0,37.0,49.0,42.0,4.0,8.0,5,6,5,1,0.75,1.0,2.0,1
27,5,-1,35.0,28.0,24.0,38.0,46.0,5.0,2.0,6,6,6,6,0.0,1.0,0.0,0
28,3,2,41.0,31.0,46.0,43.0,25.0,9.0,8.0,6,6,5,2,0.5,1.5,1.3333333333333333,1
29,3,3,36.0,29.0,41.0,45.0,50.0,5.0,5.0,6,4,5,0,0.0,0.0,0.0,0
30,4,4,24.0,51.0,52.0,49.0,53.0,4.0,5.0,0,6,6,0,0.0,0.0,0.0,1
31,4,-3,39.0,34.0,37.0,33.0,37.0,2.0,7.0,6,6,6,2,0.5,1.0,0.6666666666666666,1
32,3,-3,25.0,34.0,47.0,39.0,42.0,2.0,4.0,3,3,5,1,0.0,1.0,0.0,0
